vote_intention,consider_trump,not_trump,primary_party,education,state,race,gender,age_group
Other,Yes,Yes,Other,Some college,IN,White,Female,30-49
Yes,Yes,No,Republican,Some college,MI,White,Male,50-69
Yes,No,Other,Democratic,High school or less,MA,White,Male,30-49
Yes,Yes,Yes,Other,College degree,NM,White,Male,70+
Yes,No,Other,Democratic,Some college,NE,White,Male,50-69
Yes,Yes,No,Republican,Some college,NC,White,Female,18-29
No,Yes,No,Other,High school or less,MI,Black,Female,30-49
Yes,Yes,No,Republican,College degree,KY,White,Male,70+
Yes,No,Other,Other,College degree,OH,White,Female,18-29
Yes,No,Other,Democratic,Some college,UT,White,Female,30-49
Yes,No,Other,Republican,Some college,NH,White,Male,70+
Yes,No,Other,Democratic,Some college,TX,White,Female,50-69
Yes,No,Other,Other,College degree,NY,White,Female,50-69
No,No,Other,Other,Some college,CT,White,Female,30-49
Yes,Yes,No,Republican,Some college,IN,White,Female,30-49
Yes,No,Other,Democratic,College degree,FL,White,Female,50-69
Yes,No,Other,Democratic,Some college,MA,White,Female,70+
Yes,Other,Other,Republican,College degree,NV,White,Female,50-69
Yes,Yes,No,Republican,College degree,GA,White,Female,70+
Yes,No,Other,Republican,High school or less,GA,White,Female,50-69
No,No,Other,Other,College degree,OR,White,Male,18-29
Yes,Other,Yes,Other,College degree,NY,White,Female,50-69
Yes,Other,Yes,Democratic,Some college,VA,White,Male,50-69
Yes,Other,Other,Other,College degree,NV,White,Female,30-49
Other,Other,Other,Other,College degree,WI,White,Female,30-49
Yes,No,Other,Democratic,College degree,FL,White,Male,50-69
Yes,No,Other,Democratic,Some college,PA,White,Female,50-69
Yes,No,Other,Democratic,High school or less,NC,Black,Female,30-49
Yes,No,Other,Democratic,Some college,TN,White,Female,50-69
Yes,Yes,No,Republican,College degree,PA,White,Male,50-69
Yes,Yes,No,Republican,Some college,GA,White,Female,50-69
No,No,Other,Other,College degree,PA,White,Female,50-69
Yes,Yes,Yes,Republican,Some college,VA,White,Female,30-49
Yes,No,Other,Other,Some college,OH,American Indian,Female,50-69
Yes,No,Other,Democratic,Some college,IL,White,Female,50-69
Yes,No,Other,Democratic,College degree,IA,White,Female,18-29
Yes,No,Other,Democratic,Some college,PA,White,Female,70+
Yes,No,Other,Democratic,Postgrad,MN,White,Male,50-69
Yes,Yes,Yes,Democratic,Postgrad,FL,White,Female,30-49
Yes,No,Other,Other,Some college,OH,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,AZ,White,Male,50-69
Yes,Yes,No,Republican,College degree,GA,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,AZ,Black,Female,50-69
Yes,No,Other,Democratic,College degree,AL,Black,Female,30-49
Yes,No,Other,Democratic,Postgrad,IL,White,Female,50-69
Yes,Other,Yes,Republican,College degree,VT,White,Female,30-49
Yes,Yes,No,Republican,College degree,SD,White,Female,50-69
Yes,No,Other,Other,College degree,MD,White,Female,70+
Yes,Yes,No,Other,Some college,PA,White,Female,50-69
Other,No,Other,Other,Some college,AL,White,Female,30-49
Yes,Yes,Yes,Republican,College degree,PA,White,Male,18-29
Yes,No,Other,Democratic,Postgrad,PA,Black,Female,30-49
Yes,No,Other,Democratic,Some college,MI,White,Female,50-69
Yes,No,Other,Democratic,College degree,NY,Other,Female,30-49
Yes,No,Other,Democratic,Postgrad,IL,Black,Female,50-69
Yes,Other,Yes,Other,Some college,OH,White,Female,18-29
Yes,No,Other,Democratic,College degree,CA,American Indian,Female,18-29
No,No,Other,Other,Some college,PA,White,Female,18-29
Yes,Yes,No,Republican,Some college,NJ,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,MI,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,NH,White,Female,50-69
Yes,No,Other,Other,Some college,PA,White,Female,50-69
No,Yes,Yes,Other,Some college,MI,Asian,Male,30-49
Yes,Yes,Yes,Republican,Some college,NM,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,MN,White,Female,50-69
Yes,Yes,No,Republican,Some college,NM,White,Female,30-49
Yes,No,Other,Other,Postgrad,TX,White,Female,30-49
Yes,No,Other,Democratic,College degree,WV,White,Female,30-49
Yes,No,Other,Democratic,Some college,IN,Black,Male,70+
Yes,No,Other,Other,College degree,VA,Black,Female,30-49
Yes,No,Other,Other,Postgrad,MI,White,Male,18-29
Yes,Other,Other,Other,Some college,MI,White,Female,30-49
Yes,Yes,No,Republican,High school or less,CA,White,Female,30-49
Yes,No,Other,Republican,College degree,NY,White,Female,70+
Yes,Other,Yes,Other,College degree,FL,White,Female,30-49
Other,Yes,Yes,Democratic,Some college,KY,White,Male,30-49
Yes,Yes,No,Other,High school or less,TX,White,Female,70+
Yes,No,Other,Democratic,Some college,NC,White,Female,50-69
Yes,No,Other,Democratic,High school or less,OH,Black,Female,30-49
Yes,Other,Other,Other,Some college,WA,White,Female,50-69
Yes,Yes,No,Republican,Some college,AL,White,Male,30-49
Yes,No,Other,Other,College degree,PA,White,Female,30-49
Other,No,Other,Other,College degree,NC,White,Female,30-49
No,No,Other,Other,High school or less,FL,White,Female,30-49
Yes,No,Other,Other,College degree,NY,White,Female,50-69
Yes,No,Other,Democratic,High school or less,SC,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,NH,White,Female,50-69
Yes,No,Other,Democratic,Some college,MA,White,Female,30-49
Yes,No,Other,Democratic,Some college,WI,White,Female,18-29
Yes,No,Other,Democratic,High school or less,WA,White,Male,50-69
Yes,Yes,No,Republican,High school or less,GA,White,Female,50-69
Yes,No,Other,Democratic,Some college,WI,Black,Female,18-29
Yes,No,Other,Other,Postgrad,NY,White,Male,30-49
Yes,Yes,Yes,Republican,Some college,CA,White,Male,30-49
Yes,Yes,No,Republican,Postgrad,PA,White,Female,30-49
Yes,No,Other,Democratic,Some college,NY,White,Female,70+
Yes,No,Other,Democratic,Postgrad,NY,White,Female,50-69
Yes,Yes,Other,Republican,Some college,IN,White,Female,50-69
Yes,No,Other,Democratic,High school or less,MI,White,Male,50-69
Yes,Yes,Other,Republican,Some college,IA,White,Female,30-49
Yes,Yes,No,Republican,Some college,MO,White,Female,30-49
Yes,Yes,Other,Republican,College degree,FL,White,Female,30-49
Yes,Yes,Yes,Democratic,Some college,KY,White,Female,30-49
Yes,Other,Yes,Democratic,Postgrad,MA,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,MS,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,NJ,Other,Female,70+
Yes,Other,Other,Other,High school or less,WA,White,Female,70+
Yes,No,Other,Democratic,College degree,NY,White,Female,30-49
Yes,Other,Other,Other,High school or less,AZ,White,Male,30-49
No,No,Other,Other,College degree,NY,White,Male,30-49
Yes,Other,Yes,Republican,Some college,IN,White,Female,30-49
Yes,Yes,No,Republican,College degree,TX,White,Female,50-69
Yes,Yes,No,Republican,Some college,CA,White,Female,18-29
Yes,Yes,No,Republican,High school or less,OH,White,Female,70+
Yes,No,Other,Republican,Postgrad,OR,White,Male,70+
Yes,No,Other,Democratic,Some college,MA,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,MO,White,Male,30-49
Yes,No,Other,Republican,College degree,CA,Asian,Female,30-49
Yes,No,Other,Other,Some college,OK,White,Female,50-69
Yes,Yes,No,Republican,Some college,OK,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,VA,White,Female,50-69
Yes,No,Other,Democratic,Some college,WA,White,Female,30-49
Yes,Yes,No,Republican,High school or less,CA,Other,Male,30-49
Yes,Yes,Yes,Republican,College degree,NY,Other,Male,30-49
Yes,Yes,No,Republican,Some college,CA,Asian,Female,50-69
Yes,No,Other,Democratic,College degree,FL,White,Female,50-69
Yes,No,Other,Democratic,Some college,IA,White,Female,30-49
Yes,Other,Other,Republican,High school or less,CO,White,Female,18-29
Yes,No,Other,Democratic,Some college,MI,White,Male,30-49
Yes,Yes,No,Republican,College degree,AL,White,Female,50-69
Yes,Yes,No,Republican,Some college,MS,White,Male,70+
Yes,No,Other,Democratic,College degree,RI,White,Female,30-49
Yes,No,Other,Democratic,Some college,AZ,White,Female,50-69
Yes,No,Other,Democratic,College degree,NH,White,Female,30-49
Yes,No,Other,Democratic,Some college,TX,White,Female,70+
Yes,Yes,No,Republican,Some college,NH,White,Male,50-69
Yes,No,Other,Democratic,College degree,OH,White,Female,30-49
Yes,No,Other,Democratic,Some college,OR,White,Male,50-69
Yes,No,Other,Republican,Postgrad,OK,White,Female,30-49
Yes,Other,Other,Other,Some college,OH,White,Female,30-49
Yes,Yes,No,Other,Some college,NJ,American Indian,Female,30-49
Yes,Other,Other,Republican,Some college,FL,White,Female,50-69
Yes,No,Other,Democratic,Postgrad,MA,White,Female,30-49
Other,No,Other,Other,Postgrad,DC,Black,Female,30-49
No,No,Other,Other,High school or less,TN,White,Female,30-49
Other,Other,Other,Other,High school or less,AZ,Asian,Female,18-29
Yes,No,Other,Democratic,High school or less,MI,White,Female,30-49
Yes,No,Other,Republican,Postgrad,AL,White,Female,30-49
Other,Yes,No,Democratic,High school or less,TX,White,Female,50-69
Yes,No,Other,Democratic,High school or less,IN,White,Female,50-69
Yes,No,Other,Democratic,Some college,IL,Other,Female,18-29
Yes,Yes,No,Republican,College degree,NV,White,Female,30-49
Yes,No,Other,Other,Some college,MD,White,Female,50-69
Yes,Yes,No,Republican,High school or less,MI,White,Female,50-69
Other,Other,Other,Other,High school or less,AK,American Indian,Female,18-29
Other,Yes,Yes,Other,Some college,FL,White,Male,30-49
Yes,No,Other,Democratic,Postgrad,FL,White,Female,18-29
Yes,No,Other,Democratic,Postgrad,NE,White,Female,50-69
No,No,Other,Other,High school or less,VA,White,Female,30-49
Yes,Yes,No,Republican,Some college,OH,White,Male,50-69
Yes,Yes,No,Republican,Some college,IN,Asian,Female,30-49
Yes,Yes,No,Republican,College degree,TX,White,Female,70+
Yes,Other,Other,Democratic,Some college,CO,Other,Female,18-29
Other,Yes,No,Republican,Postgrad,GA,White,Female,50-69
Yes,Other,Other,Other,College degree,FL,White,Female,50-69
No,No,Other,Other,High school or less,IN,White,Female,30-49
Yes,Other,Other,Republican,College degree,PA,White,Female,30-49
Yes,No,Other,Other,High school or less,IL,White,Female,70+
Yes,No,Other,Other,Some college,NY,White,Male,50-69
No,No,Other,Other,College degree,CA,Black,Female,30-49
Yes,Yes,No,Republican,Some college,NC,White,Female,50-69
No,Other,Yes,Other,High school or less,OR,White,Female,18-29
Yes,Yes,Yes,Republican,Postgrad,OH,White,Male,70+
Yes,No,Other,Democratic,High school or less,TN,White,Female,50-69
Yes,Yes,No,Republican,Some college,AL,White,Female,30-49
Yes,Yes,Yes,Democratic,College degree,VA,White,Female,30-49
Yes,No,Other,Democratic,College degree,MO,White,Female,18-29
Other,No,Other,Democratic,High school or less,FL,White,Female,50-69
No,No,Other,Other,High school or less,UT,White,Female,70+
Yes,Yes,No,Republican,High school or less,TX,White,Female,50-69
Yes,Yes,Yes,Other,High school or less,NC,White,Female,50-69
Yes,Yes,No,Republican,Some college,NC,White,Male,50-69
Yes,Yes,No,Republican,High school or less,IL,White,Male,50-69
Other,No,Other,Other,Some college,TX,White,Female,18-29
Yes,Other,Other,Republican,College degree,MI,Asian,Male,30-49
No,No,Other,Other,Some college,FL,White,Female,50-69
Yes,No,Other,Democratic,Some college,RI,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,NY,White,Male,30-49
Yes,No,Other,Democratic,College degree,IL,White,Male,18-29
Yes,Yes,Yes,Republican,Postgrad,CA,White,Female,30-49
No,No,Other,Other,High school or less,FL,White,Female,50-69
Other,Yes,Other,Other,Some college,WA,White,Male,30-49
Yes,Yes,No,Republican,College degree,WI,White,Male,50-69
Yes,No,Other,Democratic,College degree,CA,Asian,Male,70+
Yes,No,Other,Democratic,College degree,TN,White,Male,30-49
Yes,Yes,Other,Other,Some college,NM,White,Female,50-69
Yes,Yes,Other,Republican,Postgrad,CA,Asian,Female,30-49
Yes,No,Other,Republican,College degree,MD,White,Female,18-29
Yes,No,Other,Democratic,College degree,MN,White,Male,30-49
Yes,No,Other,Other,Some college,AZ,White,Male,50-69
No,Yes,No,Other,Some college,TX,White,Male,50-69
Yes,No,Other,Democratic,High school or less,IL,Other,Female,18-29
Yes,No,Other,Other,Postgrad,DE,Black,Female,30-49
Other,No,Other,Democratic,Some college,VA,Other,Female,50-69
Other,No,Other,Democratic,High school or less,NY,Other,Female,18-29
Yes,Yes,No,Republican,College degree,IL,Asian,Male,30-49
Yes,Yes,Yes,Other,Postgrad,IL,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,PA,White,Female,70+
Yes,No,Other,Democratic,Postgrad,VA,White,Female,30-49
No,No,Other,Other,Some college,CA,Asian,Female,30-49
Yes,No,Other,Democratic,Postgrad,IN,White,Male,50-69
Yes,No,Other,Democratic,College degree,NC,Black,Female,30-49
Yes,Other,Yes,Democratic,Some college,NC,White,Female,18-29
Yes,Yes,No,Republican,Some college,FL,White,Female,50-69
Yes,Yes,Yes,Republican,Postgrad,AZ,White,Male,30-49
Other,No,Other,Other,Some college,KY,White,Female,30-49
No,No,Other,Other,Postgrad,CA,White,Male,30-49
Yes,Yes,No,Republican,Some college,NJ,White,Male,50-69
Yes,No,Other,Democratic,Postgrad,SC,Black,Female,50-69
Other,Yes,No,Other,College degree,PA,White,Male,30-49
Yes,No,Other,Democratic,Some college,NM,White,Male,50-69
Yes,No,Other,Democratic,High school or less,TX,White,Female,30-49
Yes,Yes,No,Republican,High school or less,FL,White,Female,50-69
Yes,No,Other,Democratic,Some college,TX,White,Female,50-69
Yes,No,Other,Democratic,Some college,WA,White,Female,30-49
Yes,Yes,Other,Republican,High school or less,AR,White,Male,30-49
Other,No,Other,Democratic,High school or less,FL,White,Female,50-69
Yes,Yes,No,Other,High school or less,WY,White,Female,18-29
Yes,Yes,Yes,Other,College degree,UT,White,Male,30-49
Yes,Yes,Yes,Republican,Postgrad,IL,White,Female,50-69
Yes,Other,Other,Other,College degree,TN,White,Female,30-49
Yes,Yes,No,Republican,High school or less,AL,White,Female,50-69
Yes,Yes,No,Republican,High school or less,SC,White,Female,50-69
Yes,No,Other,Democratic,High school or less,GA,Black,Female,50-69
Yes,No,Other,Democratic,Some college,OR,White,Male,30-49
Yes,Yes,Other,Democratic,College degree,MS,Black,Female,50-69
Yes,Yes,No,Republican,College degree,UT,American Indian,Female,30-49
Yes,Yes,Yes,Other,Some college,WV,White,Female,30-49
Yes,No,Other,Democratic,Some college,FL,White,Male,70+
Yes,Yes,No,Republican,Some college,IN,White,Male,30-49
Yes,Yes,No,Republican,Some college,TN,White,Female,50-69
Yes,Yes,No,Other,High school or less,WV,White,Female,30-49
Yes,Yes,No,Republican,High school or less,LA,White,Female,30-49
No,No,Other,Other,Some college,CA,American Indian,Female,30-49
Yes,Yes,Other,Republican,Some college,TN,White,Female,50-69
Yes,Other,Yes,Democratic,Some college,MT,White,Male,30-49
No,No,Other,Democratic,High school or less,VA,White,Female,30-49
Yes,Yes,No,Other,High school or less,MO,American Indian,Female,18-29
Yes,No,Other,Republican,High school or less,MI,White,Male,18-29
Yes,No,Other,Democratic,College degree,WI,White,Male,30-49
Other,Other,Other,Other,High school or less,FL,White,Female,50-69
Yes,No,Other,Democratic,Some college,OR,American Indian,Female,30-49
Yes,No,Other,Democratic,College degree,NV,White,Female,18-29
Yes,No,Other,Democratic,Some college,CA,Black,Female,30-49
Yes,No,Other,Democratic,High school or less,TX,Other,Female,18-29
Yes,No,Other,Democratic,Some college,CA,White,Female,18-29
Yes,Yes,Yes,Democratic,Postgrad,CA,White,Male,30-49
Yes,No,Other,Democratic,Some college,PA,White,Female,30-49
Yes,No,Other,Democratic,Some college,OR,White,Female,30-49
Other,No,Other,Other,High school or less,KY,White,Female,50-69
Yes,No,Other,Democratic,High school or less,NY,White,Male,30-49
Other,Other,Other,Other,High school or less,PA,White,Female,30-49
No,No,Other,Other,High school or less,TN,White,Female,30-49
Yes,Yes,Other,Republican,Postgrad,CO,White,Male,30-49
Yes,No,Other,Democratic,Some college,WI,White,Female,18-29
Yes,Yes,Yes,Democratic,High school or less,FL,White,Female,30-49
Yes,Yes,Yes,Other,Postgrad,MN,White,Female,50-69
No,Yes,No,Republican,High school or less,PA,White,Female,18-29
Yes,No,Other,Democratic,Postgrad,GA,White,Female,30-49
Yes,No,Other,Democratic,High school or less,PA,White,Female,30-49
Yes,No,Other,Democratic,College degree,CO,White,Female,30-49
Other,Other,Other,Other,High school or less,OK,White,Female,18-29
Other,No,Other,Other,High school or less,MA,White,Female,18-29
Yes,No,Other,Democratic,College degree,PA,White,Female,18-29
Other,Yes,Yes,Other,High school or less,WY,White,Female,18-29
Other,Other,Other,Other,Some college,IN,White,Female,18-29
Other,Other,Other,Other,College degree,MO,White,Female,70+
No,No,Other,Other,High school or less,KS,Black,Female,30-49
Yes,Other,Yes,Republican,Some college,VA,White,Female,30-49
Yes,No,Other,Democratic,College degree,IL,White,Female,18-29
Yes,Yes,No,Republican,College degree,NY,White,Female,30-49
Yes,No,Other,Democratic,Some college,CO,White,Female,50-69
Yes,Yes,Other,Republican,High school or less,WA,White,Female,30-49
No,No,Other,Other,High school or less,TN,White,Female,30-49
Yes,Yes,No,Republican,Postgrad,MA,White,Male,30-49
Yes,No,Other,Other,Some college,NC,White,Female,30-49
No,No,Other,Other,Some college,KY,White,Female,18-29
Yes,Yes,Yes,Republican,College degree,IN,White,Female,30-49
No,No,Other,Other,High school or less,IL,White,Female,30-49
Yes,No,Other,Republican,Some college,MA,White,Female,18-29
Yes,Yes,No,Republican,Some college,NV,White,Female,50-69
Yes,Yes,No,Republican,Some college,NY,White,Female,18-29
Yes,No,Other,Democratic,High school or less,IL,White,Female,30-49
No,No,Other,Other,Some college,FL,White,Male,18-29
Yes,No,Other,Democratic,Some college,WI,White,Female,30-49
Yes,Other,Other,Other,Some college,MA,White,Female,50-69
Yes,Other,Other,Other,College degree,WA,White,Female,30-49
Yes,Yes,Other,Republican,College degree,TX,White,Female,18-29
Yes,Yes,No,Republican,Some college,MN,White,Female,30-49
Yes,No,Other,Democratic,College degree,SD,White,Female,30-49
Yes,Yes,Other,Republican,College degree,MN,White,Female,30-49
Yes,Yes,No,Republican,Postgrad,MN,White,Female,70+
No,No,Other,Democratic,High school or less,WA,White,Female,30-49
Yes,Yes,No,Republican,Postgrad,MO,White,Female,30-49
Yes,No,Other,Republican,Some college,MI,White,Female,18-29
Yes,No,Other,Other,Postgrad,TX,White,Female,30-49
Yes,No,Other,Other,Some college,IL,White,Female,30-49
Yes,No,Other,Other,Postgrad,IN,White,Female,30-49
Yes,No,Other,Democratic,College degree,WA,White,Female,18-29
Yes,Other,Yes,Republican,Some college,WI,White,Female,18-29
Yes,No,Other,Democratic,High school or less,IN,White,Female,30-49
Yes,No,Other,Democratic,High school or less,MT,White,Female,18-29
Yes,No,Other,Democratic,Postgrad,IL,White,Female,30-49
No,No,Other,Other,Some college,NE,White,Female,18-29
Yes,Yes,No,Other,High school or less,AL,White,Female,30-49
Yes,No,Other,Democratic,College degree,CA,White,Female,30-49
Yes,Yes,No,Other,High school or less,IA,White,Female,30-49
Other,Other,No,Republican,High school or less,IN,White,Female,50-69
Yes,No,Other,Democratic,College degree,CA,Asian,Female,70+
Yes,No,Other,Democratic,Some college,WA,White,Female,30-49
Yes,Yes,Yes,Republican,Postgrad,TX,White,Male,30-49
Yes,No,Other,Democratic,Some college,IA,White,Female,18-29
Yes,Yes,No,Republican,College degree,GA,White,Female,18-29
Yes,Other,Other,Republican,Some college,IN,White,Female,30-49
Yes,No,Other,Democratic,Some college,TX,White,Female,50-69
Yes,No,Other,Democratic,College degree,PA,White,Female,30-49
Other,Yes,Yes,Other,High school or less,MO,White,Female,18-29
Yes,No,Other,Other,College degree,MI,White,Female,30-49
No,No,Other,Other,Some college,PA,White,Female,50-69
Yes,No,Other,Democratic,Some college,FL,White,Female,18-29
Yes,No,Other,Democratic,College degree,CA,White,Female,50-69
Yes,Other,Yes,Other,High school or less,NJ,Other,Female,18-29
Other,No,Other,Other,High school or less,OH,White,Female,18-29
No,Other,Yes,Other,High school or less,WY,White,Male,30-49
Yes,Yes,No,Republican,Some college,AR,White,Female,30-49
Yes,No,Other,Democratic,Some college,CA,White,Female,30-49
Yes,Yes,Other,Other,Some college,NC,White,Female,30-49
Yes,No,Other,Other,Some college,RI,White,Female,18-29
Yes,No,Other,Democratic,Some college,TN,White,Female,30-49
Yes,Other,Yes,Republican,Some college,CA,White,Female,18-29
Yes,No,Other,Democratic,Some college,DE,Black,Female,30-49
Yes,No,Other,Democratic,Some college,MO,White,Female,18-29
Other,Yes,No,Other,Some college,OR,White,Female,30-49
Yes,No,Other,Democratic,Some college,OH,Asian,Female,30-49
Yes,Yes,Other,Republican,Some college,TX,White,Female,30-49
Yes,No,Other,Democratic,Some college,TX,White,Female,50-69
Yes,No,Other,Other,College degree,PA,White,Female,30-49
Yes,Yes,Other,Republican,Some college,IL,White,Female,30-49
Other,No,Other,Democratic,Some college,IL,White,Female,30-49
Yes,Yes,Other,Republican,College degree,NY,White,Female,30-49
Other,No,Other,Other,High school or less,NM,White,Male,30-49
Other,No,Other,Other,Some college,MI,Asian,Female,30-49
Yes,Yes,No,Republican,Some college,AZ,White,Female,30-49
Yes,No,Other,Other,Some college,WA,White,Female,50-69
Other,No,Other,Other,High school or less,WA,White,Female,18-29
No,No,Other,Other,College degree,CA,Asian,Female,30-49
Yes,Yes,Yes,Republican,Some college,UT,White,Female,18-29
Yes,No,Other,Other,Some college,NH,White,Female,30-49
Yes,No,Other,Democratic,College degree,CA,Black,Female,30-49
Yes,No,Other,Democratic,College degree,NC,White,Male,18-29
Yes,Other,Yes,Republican,Postgrad,CA,White,Female,18-29
No,No,Other,Other,High school or less,KS,White,Female,30-49
Yes,Yes,No,Republican,Some college,NE,White,Male,50-69
Yes,Other,Yes,Republican,College degree,ID,White,Female,30-49
Yes,No,Other,Democratic,Some college,WV,White,Female,50-69
Yes,Yes,Other,Other,College degree,IA,White,Male,50-69
Yes,No,Other,Other,College degree,NE,White,Male,30-49
Yes,Yes,No,Republican,Some college,CA,White,Female,30-49
Yes,No,Other,Democratic,Postgrad,GA,Black,Female,70+
Yes,No,Other,Other,College degree,VA,Asian,Female,50-69
Yes,No,Other,Democratic,Postgrad,CA,White,Female,30-49
No,No,Other,Other,Some college,IA,White,Female,30-49
Yes,No,Other,Democratic,College degree,FL,Other,Female,50-69
Yes,No,Other,Democratic,College degree,PA,White,Female,30-49
Yes,No,Other,Democratic,College degree,CA,White,Female,30-49
Yes,No,Other,Democratic,Some college,AZ,White,Female,70+
Yes,No,Other,Republican,Some college,CO,White,Male,30-49
Yes,Other,Other,Other,Some college,KS,White,Male,30-49
Yes,No,Other,Democratic,College degree,NJ,Black,Female,18-29
Yes,Yes,Yes,Republican,College degree,CA,White,Male,30-49
Yes,No,Other,Democratic,College degree,PA,White,Female,30-49
Yes,No,Other,Other,Postgrad,MI,Black,Female,50-69
Yes,No,Other,Republican,Some college,IL,White,Male,30-49
Yes,No,Other,Other,Postgrad,NY,White,Male,50-69
Yes,No,Other,Democratic,College degree,WI,White,Male,30-49
Other,No,Other,Democratic,Some college,AZ,Other,Female,18-29
Yes,No,Other,Democratic,College degree,TX,White,Female,30-49
Yes,No,Other,Democratic,High school or less,TX,White,Male,18-29
Other,No,Other,Democratic,Some college,NY,White,Female,18-29
Yes,No,Other,Democratic,Some college,CA,White,Female,18-29
Yes,No,Other,Other,College degree,IL,White,Male,30-49
Yes,Yes,Other,Other,College degree,MA,White,Male,50-69
Yes,No,Other,Other,Some college,CA,White,Male,30-49
Yes,No,Other,Other,High school or less,TX,White,Male,30-49
Yes,Yes,No,Republican,Some college,CA,White,Female,70+
Yes,Yes,Other,Republican,High school or less,AZ,White,Male,50-69
Yes,Yes,No,Republican,College degree,CA,White,Male,50-69
Yes,No,Other,Democratic,Some college,IL,White,Male,30-49
Yes,No,Other,Democratic,College degree,PA,White,Male,70+
Yes,No,Other,Democratic,High school or less,TN,White,Male,18-29
No,Other,Yes,Republican,High school or less,TN,White,Male,18-29
Yes,Yes,Yes,Democratic,Some college,TX,White,Male,30-49
Yes,Yes,Yes,Republican,Some college,AZ,White,Female,70+
Yes,No,Other,Democratic,College degree,HI,Asian,Female,30-49
No,No,Other,Other,High school or less,NY,White,Male,30-49
Yes,No,Other,Other,College degree,MO,White,Male,30-49
Yes,Yes,No,Other,High school or less,WA,White,Female,50-69
Yes,No,Other,Democratic,Some college,GA,Black,Male,18-29
Yes,No,Other,Democratic,College degree,CA,White,Female,18-29
Yes,No,Other,Democratic,College degree,MN,White,Female,30-49
Yes,No,Other,Other,College degree,CA,White,Female,18-29
Yes,No,Other,Democratic,Some college,MI,White,Female,18-29
Yes,No,Other,Other,Some college,CA,White,Female,50-69
No,No,Other,Other,Some college,CA,Asian,Female,30-49
Yes,Yes,Other,Republican,Some college,WI,White,Female,18-29
Yes,Other,Yes,Other,Some college,IA,White,Female,50-69
Yes,No,Other,Other,Some college,TN,White,Female,30-49
Yes,No,Other,Democratic,Some college,CT,White,Female,30-49
No,No,Other,Other,College degree,NY,White,Female,30-49
Yes,Yes,No,Republican,Postgrad,TX,White,Female,50-69
Other,Yes,No,Other,High school or less,CA,White,Female,50-69
Yes,No,Other,Democratic,Some college,OH,Black,Female,50-69
Yes,Other,Yes,Other,Some college,FL,White,Male,50-69
