pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,start_date,end_date,national_poll,recent_poll
AtlasIntel,2.7,Arizona,Kamala Harris,DEM,45.1,967,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Arizona,Donald Trump,REP,51.9,967,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Arizona,Kamala Harris,DEM,45.8,967,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Arizona,Donald Trump,REP,52.3,967,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Georgia,Kamala Harris,DEM,46.8,1174,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Georgia,Donald Trump,REP,48.6,1174,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Georgia,Kamala Harris,DEM,47.6,1174,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Georgia,Donald Trump,REP,50.1,1174,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Michigan,Kamala Harris,DEM,47.8,1198,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Michigan,Donald Trump,REP,49.3,1198,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Michigan,Kamala Harris,DEM,48.2,1198,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Michigan,Donald Trump,REP,49.7,1198,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Wisconsin,Kamala Harris,DEM,48,728,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Wisconsin,Donald Trump,REP,49.3,728,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Wisconsin,Kamala Harris,DEM,48.6,728,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Wisconsin,Donald Trump,REP,49.6,728,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Pennsylvania,Kamala Harris,DEM,47.4,2049,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Pennsylvania,Donald Trump,REP,49.1,2049,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Pennsylvania,Kamala Harris,DEM,47.8,2049,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Pennsylvania,Donald Trump,REP,49.6,2049,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,North Carolina,Kamala Harris,DEM,46.8,1310,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,North Carolina,Donald Trump,REP,50.4,1310,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,North Carolina,Kamala Harris,DEM,47.1,1310,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,North Carolina,Donald Trump,REP,50.5,1310,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Nevada,Kamala Harris,DEM,45.9,782,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Nevada,Donald Trump,REP,51.4,782,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Nevada,Kamala Harris,DEM,46,782,Voters,2024-11-01,2024-11-02,0,Recent
AtlasIntel,2.7,Nevada,Donald Trump,REP,51.5,782,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,Arizona,Kamala Harris,DEM,46,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,Arizona,Donald Trump,REP,49,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,Michigan,Kamala Harris,DEM,47,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,Michigan,Donald Trump,REP,47,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,Wisconsin,Kamala Harris,DEM,48,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,Wisconsin,Donald Trump,REP,49,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,Pennsylvania,Kamala Harris,DEM,48,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,Pennsylvania,Donald Trump,REP,49,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,North Carolina,Kamala Harris,DEM,47,800,Voters,2024-11-01,2024-11-02,0,Recent
InsiderAdvantage,2,North Carolina,Donald Trump,REP,49,800,Voters,2024-11-01,2024-11-02,0,Recent
TIPP,1.8,NA,Kamala Harris,DEM,48,1305,Voters,2024-10-31,2024-11-02,1,Recent
TIPP,1.8,NA,Donald Trump,REP,49,1305,Voters,2024-10-31,2024-11-02,1,Recent
TIPP,1.8,NA,Kamala Harris,DEM,47.6,1305,Voters,2024-10-31,2024-11-02,1,Recent
TIPP,1.8,NA,Donald Trump,REP,48.6,1305,Voters,2024-10-31,2024-11-02,1,Recent
Emerson,2.9,NA,Kamala Harris,DEM,49.4,1000,Voters,2024-10-30,2024-11-02,1,Recent
Emerson,2.9,NA,Donald Trump,REP,49.2,1000,Voters,2024-10-30,2024-11-02,1,Recent
Hart/POS,2.6,NA,Kamala Harris,DEM,46,1000,Voters,2024-10-30,2024-11-02,1,Recent
Hart/POS,2.6,NA,Donald Trump,REP,47,1000,Voters,2024-10-30,2024-11-02,1,Recent
Hart/POS,2.6,NA,Kamala Harris,DEM,49,1000,Voters,2024-10-30,2024-11-02,1,Recent
Hart/POS,2.6,NA,Donald Trump,REP,49,1000,Voters,2024-10-30,2024-11-02,1,Recent
Siena/NYT,3,Michigan,Kamala Harris,DEM,44,998,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Michigan,Donald Trump,REP,47,998,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Michigan,Kamala Harris,DEM,42,998,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Michigan,Donald Trump,REP,44,998,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Michigan,Kamala Harris,DEM,47,998,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Michigan,Donald Trump,REP,47,998,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Michigan,Kamala Harris,DEM,45,998,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Michigan,Donald Trump,REP,45,998,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,47,1527,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Pennsylvania,Donald Trump,REP,48,1527,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,46,1527,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Pennsylvania,Donald Trump,REP,47,1527,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,48,1527,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Pennsylvania,Donald Trump,REP,48,1527,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,47,1527,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,Pennsylvania,Donald Trump,REP,47,1527,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,New Hampshire,Kamala Harris,DEM,51,2814,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,New Hampshire,Donald Trump,REP,46,2814,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Maine,Kamala Harris,DEM,52,1485,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Maine,Donald Trump,REP,41,1485,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Massachusetts,Kamala Harris,DEM,60,744,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Massachusetts,Donald Trump,REP,34,744,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Rhode Island,Kamala Harris,DEM,54,708,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Rhode Island,Donald Trump,REP,40,708,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Vermont,Kamala Harris,DEM,63,1167,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Vermont,Donald Trump,REP,31,1167,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Maine,Kamala Harris,DEM,60,801,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Maine,Donald Trump,REP,36,801,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Maine,Kamala Harris,DEM,44,683,Voters,2024-10-29,2024-11-02,0,Recent
U. New Hampshire,2.6,Maine,Donald Trump,REP,48,683,Voters,2024-10-29,2024-11-02,0,Recent
Mitchell,2.4,Michigan,Kamala Harris,DEM,49,585,Voters,2024-10-29,2024-11-02,0,Recent
Mitchell,2.4,Michigan,Donald Trump,REP,48,585,Voters,2024-10-29,2024-11-02,0,Recent
Mitchell,2.4,Michigan,Kamala Harris,DEM,50,585,Voters,2024-10-29,2024-11-02,0,Recent
Mitchell,2.4,Michigan,Donald Trump,REP,48,585,Voters,2024-10-29,2024-11-02,0,Recent
Siena/NYT,3,North Carolina,Kamala Harris,DEM,48,1010,Voters,2024-10-28,2024-11-02,0,Recent
Siena/NYT,3,North Carolina,Donald Trump,REP,44,1010,Voters,2024-10-28,2024-11-02,0,Recent
Siena/NYT,3,North Carolina,Kamala Harris,DEM,47,1010,Voters,2024-10-28,2024-11-02,0,Recent
Siena/NYT,3,North Carolina,Donald Trump,REP,43,1010,Voters,2024-10-28,2024-11-02,0,Recent
Siena/NYT,3,North Carolina,Kamala Harris,DEM,48,1010,Voters,2024-10-28,2024-11-02,0,Recent
Siena/NYT,3,North Carolina,Donald Trump,REP,46,1010,Voters,2024-10-28,2024-11-02,0,Recent
Siena/NYT,3,North Carolina,Kamala Harris,DEM,48,1010,Voters,2024-10-28,2024-11-02,0,Recent
Siena/NYT,3,North Carolina,Donald Trump,REP,45,1010,Voters,2024-10-28,2024-11-02,0,Recent
Siena/NYT,3,Arizona,Kamala Harris,DEM,44,1025,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Arizona,Donald Trump,REP,48,1025,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Arizona,Kamala Harris,DEM,42,1025,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Arizona,Donald Trump,REP,47,1025,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Arizona,Kamala Harris,DEM,45,1025,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Arizona,Donald Trump,REP,49,1025,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Arizona,Kamala Harris,DEM,44,1025,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Arizona,Donald Trump,REP,48,1025,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Wisconsin,Kamala Harris,DEM,49,1305,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Wisconsin,Donald Trump,REP,47,1305,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Wisconsin,Kamala Harris,DEM,48,1305,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Wisconsin,Donald Trump,REP,45,1305,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Wisconsin,Kamala Harris,DEM,49,1305,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Wisconsin,Donald Trump,REP,47,1305,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Wisconsin,Kamala Harris,DEM,48,1305,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Wisconsin,Donald Trump,REP,45,1305,Voters,2024-10-25,2024-11-02,0,Recent
Siena/NYT,3,Nevada,Kamala Harris,DEM,48,1010,Voters,2024-10-24,2024-11-02,0,Recent
Siena/NYT,3,Nevada,Donald Trump,REP,46,1010,Voters,2024-10-24,2024-11-02,0,Recent
Siena/NYT,3,Nevada,Kamala Harris,DEM,47,1010,Voters,2024-10-24,2024-11-02,0,Recent
Siena/NYT,3,Nevada,Donald Trump,REP,44,1010,Voters,2024-10-24,2024-11-02,0,Recent
Siena/NYT,3,Nevada,Kamala Harris,DEM,49,1010,Voters,2024-10-24,2024-11-02,0,Recent
Siena/NYT,3,Nevada,Donald Trump,REP,46,1010,Voters,2024-10-24,2024-11-02,0,Recent
Siena/NYT,3,Nevada,Kamala Harris,DEM,48,1010,Voters,2024-10-24,2024-11-02,0,Recent
Siena/NYT,3,Nevada,Donald Trump,REP,46,1010,Voters,2024-10-24,2024-11-02,0,Recent
MassINC Polling Group,2.8,Massachusetts,Kamala Harris,DEM,61,582,Voters,2024-10-29,2024-11-01,0,Recent
MassINC Polling Group,2.8,Massachusetts,Donald Trump,REP,31,582,Voters,2024-10-29,2024-11-01,0,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,49,3140,Adults,2024-10-29,2024-11-01,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,46,3140,Adults,2024-10-29,2024-11-01,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,49,2735,Voters,2024-10-29,2024-11-01,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,46,2735,Voters,2024-10-29,2024-11-01,1,Recent
Ipsos,2.8,NA,Kamala Harris,DEM,49,2267,Voters,2024-10-29,2024-11-01,1,Recent
Ipsos,2.8,NA,Donald Trump,REP,46,2267,Voters,2024-10-29,2024-11-01,1,Recent
Stetson University Center for Public Opinion Research,1.5,Florida,Kamala Harris,DEM,46,452,Voters,2024-10-25,2024-11-01,0,Recent
Stetson University Center for Public Opinion Research,1.5,Florida,Donald Trump,REP,53,452,Voters,2024-10-25,2024-11-01,0,Recent
Siena/NYT,3,Georgia,Kamala Harris,DEM,46,1004,Voters,2024-10-24,2024-11-01,0,Recent
Siena/NYT,3,Georgia,Donald Trump,REP,46,1004,Voters,2024-10-24,2024-11-01,0,Recent
Siena/NYT,3,Georgia,Kamala Harris,DEM,44,1004,Voters,2024-10-24,2024-11-01,0,Recent
Siena/NYT,3,Georgia,Donald Trump,REP,43,1004,Voters,2024-10-24,2024-11-01,0,Recent
Siena/NYT,3,Georgia,Kamala Harris,DEM,48,1004,Voters,2024-10-24,2024-11-01,0,Recent
Siena/NYT,3,Georgia,Donald Trump,REP,47,1004,Voters,2024-10-24,2024-11-01,0,Recent
Siena/NYT,3,Georgia,Kamala Harris,DEM,46,1004,Voters,2024-10-24,2024-11-01,0,Recent
Siena/NYT,3,Georgia,Donald Trump,REP,46,1004,Voters,2024-10-24,2024-11-01,0,Recent
Morning Consult,1.9,Florida,Kamala Harris,DEM,46.1,2022,Voters,2024-10-23,2024-11-01,0,Recent
Morning Consult,1.9,Florida,Donald Trump,REP,50.9,2022,Voters,2024-10-23,2024-11-01,0,Recent
Morning Consult,1.9,Maryland,Kamala Harris,DEM,63.7,472,Voters,2024-10-23,2024-11-01,0,Recent
Morning Consult,1.9,Maryland,Donald Trump,REP,31.3,472,Voters,2024-10-23,2024-11-01,0,Recent
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,47.4,1056,Voters,2024-10-23,2024-11-01,0,Recent
Morning Consult,1.9,North Carolina,Donald Trump,REP,49.2,1056,Voters,2024-10-23,2024-11-01,0,Recent
Morning Consult,1.9,Ohio,Kamala Harris,DEM,43.7,1254,Voters,2024-10-23,2024-11-01,0,Recent
Morning Consult,1.9,Ohio,Donald Trump,REP,52.9,1254,Voters,2024-10-23,2024-11-01,0,Recent
Kaplan Strategies,2,NA,Kamala Harris,DEM,47,671,Voters,2024-10-31,2024-10-31,1,Recent
Kaplan Strategies,2,NA,Donald Trump,REP,48,671,Voters,2024-10-31,2024-10-31,1,Recent
AtlasIntel,2.7,NA,Kamala Harris,DEM,47.2,3490,Voters,2024-10-30,2024-10-31,1,Recent
AtlasIntel,2.7,NA,Donald Trump,REP,49.1,3490,Voters,2024-10-30,2024-10-31,1,Recent
AtlasIntel,2.7,NA,Kamala Harris,DEM,48.2,3490,Voters,2024-10-30,2024-10-31,1,Recent
AtlasIntel,2.7,NA,Donald Trump,REP,49.6,3490,Voters,2024-10-30,2024-10-31,1,Recent
AtlasIntel,2.7,North Carolina,Kamala Harris,DEM,46.7,1373,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,North Carolina,Donald Trump,REP,50.7,1373,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,North Carolina,Kamala Harris,DEM,47,1373,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,North Carolina,Donald Trump,REP,50.7,1373,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Arizona,Kamala Harris,DEM,45.9,1005,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Arizona,Donald Trump,REP,50.8,1005,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Arizona,Kamala Harris,DEM,46.8,1005,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Arizona,Donald Trump,REP,51,1005,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Georgia,Kamala Harris,DEM,47.2,1212,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Georgia,Donald Trump,REP,48.8,1212,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Georgia,Kamala Harris,DEM,47.8,1212,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Georgia,Donald Trump,REP,50.1,1212,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Michigan,Kamala Harris,DEM,48.3,1136,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Michigan,Donald Trump,REP,49.2,1136,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Michigan,Kamala Harris,DEM,48.7,1136,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Michigan,Donald Trump,REP,49.3,1136,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Nevada,Kamala Harris,DEM,46.9,845,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Nevada,Donald Trump,REP,50.5,845,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Nevada,Kamala Harris,DEM,47,845,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Nevada,Donald Trump,REP,50.6,845,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Pennsylvania,Kamala Harris,DEM,47.4,1738,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Pennsylvania,Donald Trump,REP,48.5,1738,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Pennsylvania,Kamala Harris,DEM,47.9,1738,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Pennsylvania,Donald Trump,REP,49.4,1738,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Wisconsin,Kamala Harris,DEM,48.2,673,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Wisconsin,Donald Trump,REP,48.5,673,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Wisconsin,Kamala Harris,DEM,49,673,Voters,2024-10-30,2024-10-31,0,Recent
AtlasIntel,2.7,Wisconsin,Donald Trump,REP,48.8,673,Voters,2024-10-30,2024-10-31,0,Recent
Change Research,1.4,Nebraska,Kamala Harris,DEM,39,600,Voters,2024-10-30,2024-10-31,0,Recent
Change Research,1.4,Nebraska,Donald Trump,REP,57,600,Voters,2024-10-30,2024-10-31,0,Recent
Emerson,2.9,Nevada,Kamala Harris,DEM,48.6,700,Voters,2024-10-29,2024-10-31,0,Recent
Emerson,2.9,Nevada,Donald Trump,REP,48.3,700,Voters,2024-10-29,2024-10-31,0,Recent
TIPP,1.8,NA,Kamala Harris,DEM,48,1249,Voters,2024-10-29,2024-10-31,1,Recent
TIPP,1.8,NA,Donald Trump,REP,49,1249,Voters,2024-10-29,2024-10-31,1,Recent
TIPP,1.8,NA,Kamala Harris,DEM,47.8,1249,Voters,2024-10-29,2024-10-31,1,Recent
TIPP,1.8,NA,Donald Trump,REP,48.5,1249,Voters,2024-10-29,2024-10-31,1,Recent
OnMessage Inc.,1.1,Pennsylvania,Kamala Harris,DEM,47,800,Voters,2024-10-29,2024-10-31,0,Recent
OnMessage Inc.,1.1,Pennsylvania,Donald Trump,REP,49,800,Voters,2024-10-29,2024-10-31,0,Recent
OnMessage Inc.,1.1,Michigan,Kamala Harris,DEM,48,800,Voters,2024-10-29,2024-10-31,0,Recent
OnMessage Inc.,1.1,Michigan,Donald Trump,REP,48,800,Voters,2024-10-29,2024-10-31,0,Recent
OnMessage Inc.,1.1,Wisconsin,Kamala Harris,DEM,47,800,Voters,2024-10-29,2024-10-31,0,Recent
OnMessage Inc.,1.1,Wisconsin,Donald Trump,REP,48,800,Voters,2024-10-29,2024-10-31,0,Recent
OnMessage Inc.,1.1,Arizona,Kamala Harris,DEM,47,800,Voters,2024-10-29,2024-10-31,0,Recent
OnMessage Inc.,1.1,Arizona,Donald Trump,REP,50,800,Voters,2024-10-29,2024-10-31,0,Recent
Morning Consult,1.9,NA,Kamala Harris,DEM,49,8918,Voters,2024-10-29,2024-10-31,1,Recent
Morning Consult,1.9,NA,Donald Trump,REP,47,8918,Voters,2024-10-29,2024-10-31,1,Recent
YouGov,3,NA,Kamala Harris,DEM,47,1267,Voters,2024-10-29,2024-10-31,1,Recent
YouGov,3,NA,Donald Trump,REP,47,1267,Voters,2024-10-29,2024-10-31,1,Recent
YouGov,3,NA,Kamala Harris,DEM,48,1152,Voters,2024-10-29,2024-10-31,1,Recent
YouGov,3,NA,Donald Trump,REP,48,1152,Voters,2024-10-29,2024-10-31,1,Recent
YouGov,3,NA,Kamala Harris,DEM,48,1267,Voters,2024-10-29,2024-10-31,1,Recent
YouGov,3,NA,Donald Trump,REP,48,1267,Voters,2024-10-29,2024-10-31,1,Recent
YouGov,3,NA,Kamala Harris,DEM,49,1152,Voters,2024-10-29,2024-10-31,1,Recent
YouGov,3,NA,Donald Trump,REP,48,1152,Voters,2024-10-29,2024-10-31,1,Recent
SurveyUSA,2.8,New Mexico,Kamala Harris,DEM,50,632,Voters,2024-10-28,2024-10-31,0,Recent
SurveyUSA,2.8,New Mexico,Donald Trump,REP,44,632,Voters,2024-10-28,2024-10-31,0,Recent
Susquehanna,2.3,Nevada,Kamala Harris,DEM,44.2,400,Voters,2024-10-28,2024-10-31,0,Recent
Susquehanna,2.3,Nevada,Donald Trump,REP,50.2,400,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,Arizona,Kamala Harris,DEM,47,652,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,Arizona,Donald Trump,REP,48,652,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,Georgia,Kamala Harris,DEM,47,1779,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,Georgia,Donald Trump,REP,48,1779,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,Michigan,Kamala Harris,DEM,47,1731,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,Michigan,Donald Trump,REP,47,1731,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,Nevada,Kamala Harris,DEM,47,690,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,Nevada,Donald Trump,REP,48,690,Voters,2024-10-28,2024-10-31,0,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Kamala Harris,DEM,47,1123,Voters,2024-10-28,2024-10-31,0,Recent
