date,traffctl,visibility,light,rdsfcond,acclass,speeding,ag_driv,alcohol,disability
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-12,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-13,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-13,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-13,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-14,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-14,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-14,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-14,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-14,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-14,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-15,Others,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-02-15,Others,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-02-15,Others,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-02-16,No Control,Disturbed,Daylight,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-02-16,No Control,Disturbed,Daylight,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-02-16,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-16,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-16,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-19,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-19,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-20,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-20,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-02-20,No Control,Clear,Dim Light,Dry,Fatal,None,None,None,None
2006-02-20,No Control,Clear,Dim Light,Dry,Fatal,None,None,None,None
2006-02-20,No Control,Clear,Dim Light,Dry,Fatal,None,None,None,None
2006-02-21,Others,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-21,Others,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-23,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-23,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-23,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-23,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-23,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-24,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-24,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-24,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-02-25,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-25,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-25,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-26,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Clear,Dark,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Clear,Dark,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Clear,Dark,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Clear,Dark,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Clear,Dark,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-02-26,No Control,Clear,Dark,Others,Non-Fatal Injury,Yes,Yes,None,None
2006-02-27,No Control,Clear,Dark,Dry,Fatal,Yes,Yes,None,None
2006-02-27,No Control,Clear,Dark,Dry,Fatal,Yes,Yes,None,None
2006-02-27,No Control,Clear,Dark,Dry,Fatal,Yes,Yes,None,None
2006-02-27,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-27,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-02-27,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-27,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-27,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-02-28,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-02-28,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-02-28,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-02-28,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-02-28,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-03-01,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-01,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-06,No Control,Clear,Dim Light,Dry,Non-Fatal Injury,None,None,None,None
2006-03-06,No Control,Clear,Dim Light,Dry,Non-Fatal Injury,None,None,None,None
2006-03-06,No Control,Clear,Dim Light,Dry,Non-Fatal Injury,None,None,None,None
2006-03-06,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-06,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-06,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-06,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-06,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-06,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-06,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-08,No Control,Clear,Dark,Dry,Fatal,None,None,None,None
2006-03-08,No Control,Clear,Dark,Dry,Fatal,None,None,None,None
2006-03-08,No Control,Clear,Dark,Dry,Fatal,None,None,None,None
2006-03-08,No Control,Clear,Dark,Dry,Fatal,None,None,None,None
2006-03-08,No Control,Clear,Dark,Dry,Fatal,None,None,None,None
2006-03-11,Traffic Signal,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-03-11,Traffic Signal,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-03-11,Traffic Signal,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-03-11,Traffic Signal,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-03-12,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-12,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-12,No Control,Clear,Dark,Dry,Fatal,None,None,Yes,None
2006-03-12,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,Yes,None
2006-03-12,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,Yes,None
2006-03-15,Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,None
2006-03-15,Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-16,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-17,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-17,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-17,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-17,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-18,Others,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-18,Others,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-18,Others,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-18,Others,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-18,Others,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-18,Others,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-18,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,Yes,None
2006-03-18,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,Yes,None
2006-03-19,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-03-19,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-03-19,No Control,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-03-19,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-19,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-19,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-19,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-19,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-19,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-20,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-20,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-20,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-20,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-20,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-03-22,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes
2006-03-22,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes
2006-03-22,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes
2006-03-25,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,None,None,None,None
2006-03-25,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,None,None,None,None
2006-03-25,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,None,None,None,None
2006-03-25,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,None,None,None,None
2006-03-25,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,None,None,None,None
2006-03-25,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-03-25,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,Yes,None,None
2006-03-26,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-26,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-26,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-31,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-03-31,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-01,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-04-01,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-04-01,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-04-01,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-04-01,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-04-01,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-01,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-01,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-01,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-01,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-01,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-02,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes
2006-04-02,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes
2006-04-03,Traffic Signal,Disturbed,Daylight,Wet,Non-Fatal Injury,None,None,None,None
2006-04-03,Traffic Signal,Disturbed,Daylight,Wet,Non-Fatal Injury,None,None,None,None
2006-04-04,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,None
2006-04-04,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,None
2006-04-04,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-04,Others,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-06,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-06,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-06,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-06,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-07,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-04-07,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-04-07,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-04-07,No Control,Disturbed,Daylight,Wet,Non-Fatal Injury,Yes,Yes,None,None
2006-04-08,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-08,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-10,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-10,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-11,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-11,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Yes,None,None
2006-04-11,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-11,No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None
2006-04-11,Others,Clear,Daylight,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-04-11,Others,Clear,Daylight,Dry,Non-Fatal Injury,Yes,Yes,None,None
2006-04-12,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-04-12,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-04-12,No Control,Disturbed,Dark,Wet,Non-Fatal Injury,None,None,None,None
2006-04-15,No Control,Clear,Dark,Dry,Fatal,None,None,None,None
2006-04-15,No Control,Clear,Dark,Dry,Fatal,None,None,None,None
2006-04-15,No Control,Clear,Dark,Dry,Fatal,None,None,None,None
2006-04-18,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-04-18,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-04-18,No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None
2006-04-18,Traffic Signal,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-04-18,Traffic Signal,Clear,Daylight,Dry,Fatal,None,Yes,None,None
2006-04-18,Traffic Signal,Clear,Daylight,Dry,Fatal,None,Yes,None,None
